age,female,handi,horse_name,rank,weight
5,0,56,マチカネライメイ,8,494
5,0,56,シャドウクリーク,9,472
4,0,54,ハコネバンジョー,10,438
4,0,54,パーソナリティワン,11,456
7,0,56,メイショウタイカン,12,422
5,0,56,サカモトデュラブ,13,454
4,1,52,ヒシナイル,14,464
4,1,52,ビクタートウショウ,15,466
6,0,56,スミタカブライト,16,450
5,0,57,ワシントンカラー,1,504
4,0,54,セレクトグリーン,2,512
5,0,56,ビーマイナカヤマ,3,468
5,0,56,リキアイワカタカ,4,524
5,0,57,コンメンダトーレ,5,474
8,0,56,セタノキング,6,486
5,1,54,ゴールデンチェリー,7,456
4,0,54,タイキレッド,8,452
6,0,57,ストーンステッパー,9,510
5,0,56,ビコーミニスター,10,438
5,0,56,カネショウテュータ,11,486
6,0,57,テンパイ,12,490
8,0,57,トシヴォイス,13,474
5,0,56,セレクトグリーン,1,512
5,0,57,トキオパーフェクト,2,462
5,0,56,ゲイリーコンドル,3,514
6,0,57,ビーマイナカヤマ,4,474
6,1,54,キョウエイフォルテ,5,474
6,0,56,パーソナリティワン,6,474
6,0,57,コンメンダトーレ,7,482
9,0,57,セタノキング,8,486
6,0,56,レイズスズラン,9,488
6,0,56,リキアイワカタカ,10,530
6,0,57,スーパーナカヤマ,11,524
7,0,56,チアフルマスター,12,462
6,0,56,スタープログラマー,13,462
7,0,57,テンパイ,14,518
4,1,52,ステファニーチャン,15,426
7,1,55,ブロードアピール,1,474
5,0,56,エイシンサンルイス,2,528
4,0,54,ノボジャック,3,452
5,1,56,ベラミロード,4,426
4,0,54,トーヨーデヘア,5,500
4,0,54,ツルミカイウン,6,494
7,1,55,ゴールデンチェリー,7,464
7,0,57,ワシントンカラー,8,506
7,0,56,ビコーミニスター,9,446
7,0,56,ジェットアラウンド,10,484
6,0,56,ミヨノショウリ,11,488
8,0,56,クリールスペシアル,12,460
4,0,54,ダイワカーソン,13,480
7,0,57,スーパーナカヤマ,14,518
8,0,56,セントパーク,15,514
5,0,56,ノボトゥルー,1,448
6,0,57,サンフォードシチー,2,472
7,1,55,ブロードアピール,3,470
5,1,57,ゴールドティアラ,4,458
6,1,54,ゲイリーイグリット,5,472
7,0,57,ワシントンカラー,6,510
4,0,56,マイネルブライアン,7,524
7,0,57,ビーマイナカヤマ,8,488
6,0,57,トキオパーフェクト,9,462
4,0,58,イーグルカフェ,10,484
7,0,56,ミヤギロドリゴ,11,530
4,0,57,エイシンプレストン,12,466
4,0,55,コンバットハーバー,13,504
6,0,56,サウスヴィグラス,1,502
6,0,59,ノボトゥルー,2,460
8,0,57,ワシントンカラー,3,508
5,0,56,アッミラーレ,4,520
5,0,56,ネオポリス,5,574
6,1,57,ゴールドティアラ,6,468
4,0,55,グラスエイコウオー,7,480
5,0,59,ノボジャック,8,480
6,0,56,ナイキアフリート,9,432
4,0,56,イシヤクマッハ,10,448
7,1,55,トシザミカ,11,430
7,0,57,セレクトグリーン,12,512
5,0,56,トーヨーデヘア,13,500
4,0,55,ロイヤルエンデバー,14,486
7,0,57,サウスヴィグラス,1,504
5,0,57,ニホンピロサート,2,508
6,0,59,ノボジャック,3,478
7,0,59,ノボトゥルー,4,464
5,0,56,ディバインシルバー,5,504
6,1,55,ヤマカツスズラン,6,494
4,0,56,シャドウスケイプ,7,448
4,0,56,スターキングマン,8,478
4,0,56,エンドレスデザート,9,500
4,1,54,タガノチャーリーズ,10,468
4,0,56,シベリアンメドウ,11,520
11,0,56,サンエムキング,12,476
4,1,56,サクセスビューティ,13,490
6,0,56,ドラゴンマックス,14,426
7,0,56,シャンハイダロン,15,504
5,1,54,ダイワルージュ,16,504
5,0,56,シャドウスケイプ,1,450
4,0,55,ヒューマ,2,472
8,0,59,ノボトゥルー,3,466
7,0,59,ノボジャック,4,482
4,0,55,ニシノシタン,5,512
5,0,56,サンライズキング,6,528
4,0,55,タイガーロータリー,7,488
4,0,55,ブルーコンコルド,8,490
4,0,55,ヒシアトラス,9,522
7,0,56,ボトムズアップ,10,464
7,0,59,スターリングローズ,11,524
7,0,56,オーミヤボレロ,12,496
6,0,56,オーシャンアクロス,13,550
6,0,59,トーシンブリザード,14,494
6,0,57,ディバインシルバー,15,500
4,0,56,メイショウボーラー,1,496
5,0,56,ハードクリスタル,2,478
5,0,57,エコルプレイス,3,540
6,0,57,ストロングブラッド,4,496
5,0,56,サミーミラクル,5,518
4,0,58,カフェオリンポス,5,518
4,0,56,トップオブワールド,7,468
6,0,56,サイレンスボーイ,8,486
8,0,57,エンゲルグレーセ,9,488
5,0,57,アグネスウイング,10,480
4,0,55,ナイストップボーイ,11,500
6,0,57,シャドウスケイプ,12,442
8,0,56,タイギャラント,13,522
6,0,57,アドマイヤマックス,14,482
4,0,57,ワイルドソルジャー,15,518
13,0,56,サンエムキング,16,464
7,0,57,リミットレスビッド,1,504
5,0,56,タイキエニグマ,2,514
6,0,56,トウショウギア,3,528
4,0,56,サンライズバッカス,4,470
5,0,56,シルヴァーゼット,5,514
6,0,56,ニシノコンサフォス,6,540
5,0,59,メイショウボーラー,7,500
4,0,55,マイティスプリング,8,564
8,0,57,ニホンピロサート,9,524
5,0,56,テイエムアクション,10,498
7,0,58,バランスオブゲーム,11,488
7,1,54,リンガスローレル,12,482
4,0,57,アグネスジェダイ,13,490
4,0,55,プライドキム,14,480
4,0,55,ダイワキングコン,15,458
10,0,58,ハタノアドニス,16,490
6,0,56,ビッググラス,1,518
6,0,57,シーキングザベスト,2,474
9,0,56,ニホンピロサート,3,516
8,0,58,リミットレスビッド,4,502
5,0,56,ヒカルウイッシュ,5,486
6,0,56,ボードスウィーパー,6,464
7,0,56,トウショウギア,7,524
5,0,56,オフィサー,8,492
6,0,56,タイキエニグマ,9,520
6,0,56,ダイワバンディット,10,500
5,0,56,マルカフレンチ,11,534
4,0,55,セレスダイナミック,12,492
5,0,56,スナークファルコン,13,464
6,0,56,アルドラゴン,14,508
6,0,56,インセンティブガイ,15,474
4,0,55,ヒシハイグレード,16,540
6,0,57,ワイルドワンダー,1,448
5,0,57,タイセイアトム,2,532
5,0,56,アドマイヤスバル,3,520
7,0,56,トーセンブライト,4,500
7,0,58,カフェオリンポス,5,516
8,1,55,メイショウバトラー,6,518
12,0,58,ノボトゥルー,7,456
6,0,56,トラストジュゲム,8,510
5,0,57,マイネルスケルツィ,9,526
4,0,56,レオエンペラー,10,494
6,0,57,シンボリグラン,11,536
6,0,57,エイシンロンバード,12,502
9,0,58,リミットレスビッド,13,516
7,0,57,ビッググラス,14,534
7,0,56,シルヴァーゼット,15,500
5,0,57,フェラーリピサ,1,502
5,0,56,ヒシカツリーダー,2,530
4,0,55,セントラルコースト,3,502
6,0,56,アドマイヤスバル,4,510
6,0,59,バンブーエール,5,482
5,0,57,ビクトリーテツニー,6,482
4,0,55,ナンヨーヒルトップ,7,502
7,0,56,オフィサー,8,500
7,0,58,フジノウェーブ,9,478
7,1,54,ニシノナースコール,10,452
7,0,56,スリーアベニュー,11,506
4,0,55,ブイチャレンジ,12,480
8,0,56,ボードスウィーパー,13,468
10,0,57,リミットレスビッド,14,500
5,0,58,マルカフェニックス,15,512
4,0,56,ダンツキッスイ,16,532
4,0,55,グロリアスノア,1,516
5,0,56,サマーウインド,2,520
5,0,56,オーロマイスター,3,514
4,0,58,スーニ,4,470
6,0,56,ワンダーポデリオ,5,468
6,0,57,ミリオンディスク,6,532
4,0,55,セイクリムズン,7,506
6,0,56,ビクトリーテツニー,8,494
8,0,56,ワイルドワンダー,9,454
4,0,55,グリフィンゲート,10,496
6,0,56,ヒシカツリーダー,11,528
6,0,56,ダイワディライト,12,506
4,0,55,ケイアイテンジン,13,472
5,0,56,セレスハント,14,480
7,0,56,ゼンノグッドウッド,15,502
6,0,56,ショウワモダン,16,530
5,0,57,セイクリムズン,1,508
5,0,56,ダノンカモン,2,526
8,0,56,ダイショウジェット,3,568
5,1,54,エーシンクールディ,4,488
5,0,56,ティアップワイルド,5,530
7,0,56,ワンダーポデリオ,6,476
5,0,56,ワールドワイド,7,494
5,1,55,ケイアイガーベラ,8,480
7,0,56,ビクトリーテツニー,9,494
10,0,57,タマモホットプレイ,10,482
4,0,55,スターボード,11,510
7,0,56,ダイワディライト,12,508
6,0,58,サクセスブロッケン,13,522
9,0,56,ガブリン,14,470
9,0,57,アグネスジェダイ,15,516
9,0,56,スリーアベニュー,16,508
6,0,57,シルクフォーチュン,1,470
5,0,56,トウショウカズン,2,538
6,0,58,テスタマッタ,3,502
5,0,56,タイセイレジェンド,4,528
6,0,56,ダノンカモン,5,530
6,0,57,セイクリムズン,6,520
6,0,56,ブライトアイザック,7,504
